,open,close,high,low,volume
0,52.879,50.695,53.275,50.112,14742.0
1,51.486,55.766,55.766,51.486,5081.0
2,61.34,61.34,61.34,57.821,19651.0
3,67.473,67.473,67.473,67.473,1276.0
4,69.682,68.086,74.219,67.715,27203.0
5,66.964,71.066,71.634,64.246,16070.0
6,70.473,69.188,71.659,68.743,11382.0
7,68.733,71.165,74.13,67.458,12989.0
8,70.671,75.094,77.046,70.671,12805.0
9,75.02,80.728,81.938,73.156,18789.0
10,80.728,80.742,81.439,77.53,13071.0
11,79.566,78.084,84.508,77.589,14305.0
12,77.644,78.548,81.558,77.644,9389.0
13,78.519,77.352,79.581,75.613,8164.0
14,78.37,75.553,78.37,73.142,15540.0
15,75.168,77.095,80.303,73.646,10035.0
16,77.12,79.324,81.538,76.107,8955.0
17,79.023,87.256,87.256,78.583,11075.0
18,89.45,86.139,89.944,85.398,11235.0
19,83.881,82.877,86.485,79.517,10487.0
20,82.68,81.474,84.212,80.011,20746.0
21,81.113,79.517,81.444,78.578,13121.0
22,78.726,81.029,82.265,77.491,22156.0
23,80.555,79.611,81.177,74.629,10628.0
24,79.952,83.465,84.014,79.072,13943.0
25,83.461,78.978,83.465,78.874,21355.0
26,79.072,78.79,80.965,76.354,10556.0
27,79.566,76.927,80.06,74.926,9742.0
28,77.585,75.613,78.578,75.553,12786.0
29,75.118,75.934,77.589,69.435,14410.0
30,75.86,76.779,77.046,73.586,11515.0
31,76.102,80.06,83.124,75.613,16412.0
32,80.07,78.514,81.454,78.514,8622.0
33,78.331,78.084,80.49,75.86,11786.0
34,78.084,73.834,78.573,73.142,15978.0
35,71.669,71.417,73.399,70.305,9734.0
36,71.422,72.277,73.631,71.417,7356.0
37,72.386,70.819,72.4,70.176,5532.0
38,70.172,67.241,70.172,67.211,4906.0
39,67.241,63.589,68.684,60.525,15643.0
40,63.999,61.182,64.987,59.601,16533.0
41,61.874,55.064,62.398,55.064,23641.0
42,51.397,53.72,57.96,49.914,40699.0
43,54.362,59.092,59.092,52.929,38105.0
44,60.292,65.002,65.002,59.798,30120.0
45,67.063,67.152,70.172,65.012,31265.0
46,65.877,60.436,67.211,60.436,22622.0
47,57.327,63.203,66.371,57.105,36158.0
48,69.524,59.991,69.524,56.882,41807.0
49,55.257,53.991,59.294,53.991,18857.0
50,48.595,48.595,49.42,48.595,45639.0
51,53.453,53.453,53.453,53.453,240.0
52,58.8,58.8,58.8,58.8,6333.0
53,58.069,58.291,61.281,53.873,57449.0
54,59.096,63.198,63.742,58.612,32857.0
55,62.205,69.514,69.519,61.286,42956.0
56,68.15,69.682,74.13,66.717,27723.0
57,69.677,67.775,69.929,66.717,24434.0
58,67.953,68.2,69.03,67.004,18436.0
59,68.051,64.513,68.101,63.233,45230.0
60,62.759,58.064,66.292,58.064,42056.0
61,53.621,53.744,59.205,52.385,40329.0
62,54.362,56.833,57.476,51.204,41293.0
63,56.092,55.301,58.81,54.896,30661.0
64,54.856,51.604,55.005,50.557,32684.0
65,51.397,46.455,51.595,46.445,46312.0
66,46.949,51.1,51.1,46.949,33828.0
67,52.484,51.555,55.346,51.397,36474.0
68,50.404,53.7,54.362,50.018,20620.0
69,54.916,59.057,59.057,54.856,26478.0
70,60.9,60.787,61.77,58.607,31440.0
71,60.787,58.844,60.787,58.637,28357.0
72,57.772,55.35,58.316,53.374,36303.0
73,54.367,56.566,56.586,53.967,20984.0
74,56.586,55.795,57.317,54.856,21322.0
75,55.252,53.853,55.252,52.879,23975.0
76,53.127,49.988,54.93,48.926,26057.0
77,48.96,54.357,54.362,48.931,28065.0
78,53.413,51.619,54.313,51.011,18850.0
79,50.408,49.914,52.227,48.876,16948.0
80,47.937,44.923,47.937,44.923,41283.0
81,41.617,40.431,44.478,40.431,35444.0
82,40.87,41.335,43.984,39.042,33543.0
83,42.995,45.13,45.13,41.701,26410.0
84,45.911,46.667,47.428,43.49,25616.0
85,45.368,42.748,45.402,42.442,21751.0
86,42.032,38.543,42.501,38.474,24113.0
87,36.571,37.599,41.197,35.854,21980.0
88,38.548,39.388,40.371,37.717,17166.0
89,38.656,41.908,42.496,38.656,13548.0
90,41.987,44.478,45.165,41.127,24300.0
91,43.49,42.254,44.004,42.007,14375.0
92,41.765,42.506,43.49,41.661,11095.0
93,42.551,38.548,43.49,38.543,15524.0
94,37.806,38.548,39.862,37.5,9958.0
95,38.844,42.254,42.402,36.694,30757.0
96,41.019,39.833,43.49,39.096,29302.0
97,40.139,40.475,40.959,39.536,15187.0
98,39.536,41.809,41.948,39.052,22750.0
99,41.809,40.678,42.625,40.465,21022.0
100,40.277,39.501,40.663,38.449,34011.0
101,40.47,43.45,43.45,40.04,43790.0
102,44.429,42.501,44.429,39.59,42451.0
103,42.699,42.897,43.579,41.033,32372.0
104,41.18,41.3,42.64,39.9,43711.0
105,41.36,40.2,41.89,39.6,28655.0
106,41.5,42.67,43.95,40.61,52195.0
107,38.8,39.58,40.6,38.8,129627.0
108,39.14,41.11,41.56,38.59,125493.0
109,40.97,40.4,40.97,39.52,96905.0
110,40.6,44.44,44.44,40.6,205558.0
111,45.0,46.38,47.0,43.5,184410.0
112,46.0,45.69,46.45,44.56,137160.0
113,45.8,44.97,46.68,43.2,127031.0
114,44.55,45.4,46.0,43.82,117543.0
115,44.85,40.86,45.3,40.86,139179.0
116,39.97,44.95,44.95,39.69,154126.0
117,46.0,44.81,46.68,43.84,184997.0
118,45.6,44.96,45.6,43.81,106517.0
119,44.21,43.88,44.6,41.42,94510.0
120,43.3,42.23,44.44,42.0,74617.0
121,43.4,42.48,43.4,42.18,64622.0
122,42.0,41.09,42.3,40.79,77056.0
123,39.56,39.24,40.7,39.16,78885.0
124,39.45,39.0,39.98,38.52,56002.0
125,39.0,40.81,40.81,39.0,78202.0
126,40.81,40.27,40.81,39.81,101113.0
127,40.37,41.0,41.58,40.17,88166.0
128,40.88,42.41,43.0,40.0,114456.0
129,42.01,43.25,43.92,41.8,121207.0
130,43.22,43.83,44.4,43.0,96318.0
131,44.3,42.81,44.43,42.31,103070.0
132,42.4,41.38,42.4,40.85,85801.0
133,40.49,43.3,43.44,40.14,97105.0
134,43.65,41.85,44.4,41.72,109429.0
135,41.8,42.12,42.45,41.25,58251.0
136,42.51,46.33,46.33,42.5,110001.0
137,50.5,50.96,50.96,48.5,371692.0
138,51.52,48.5,52.5,48.42,210739.0
139,47.62,49.74,50.9,47.62,131406.0
140,49.7,49.34,49.89,48.5,99993.0
141,49.35,47.93,49.83,47.58,110975.0
142,47.51,44.99,49.19,43.98,117323.0
143,44.98,44.0,45.8,41.1,99023.0
144,44.01,44.61,45.79,42.88,82608.0
145,44.61,43.84,45.4,42.5,59284.0
146,43.87,45.58,45.6,43.87,73420.0
147,45.57,44.51,45.57,44.19,68777.0
148,44.51,44.78,45.19,43.8,52669.0
149,44.34,45.43,47.45,44.15,106614.0
150,45.3,43.81,45.34,43.61,64977.0
151,43.81,43.02,44.51,42.83,57951.0
152,43.03,41.74,43.38,41.53,55197.0
153,40.5,42.22,42.5,40.5,63832.0
154,42.32,42.59,43.49,42.0,39124.0
155,42.72,42.59,43.28,42.31,43430.0
156,42.86,43.63,43.8,42.72,65996.0
157,43.44,42.69,43.5,42.55,52964.0
158,38.42,38.42,38.42,38.42,4515.0
159,34.58,35.42,36.58,34.58,206893.0
160,34.1,34.15,34.79,32.95,148252.0
161,33.3,30.74,33.76,30.74,109189.0
162,30.8,29.62,31.15,28.72,116961.0
163,29.7,29.9,30.5,29.35,72278.0
164,29.5,26.92,29.5,26.91,97590.0
165,26.7,27.26,27.35,25.2,106858.0
166,28.0,26.0,28.4,25.61,96929.0
167,25.3,26.57,26.96,24.74,90332.0
168,26.2,25.28,26.52,24.81,59175.0
169,25.3,26.25,26.43,25.29,72668.0
170,26.01,26.4,26.45,25.22,65906.0
171,26.79,26.66,27.0,26.38,77131.0
172,26.65,26.17,27.1,26.14,52333.0
173,24.9,25.42,25.84,24.8,42949.0
174,25.6,26.89,27.0,25.41,81318.0
175,26.63,27.6,27.62,26.4,100854.0
176,27.85,27.04,27.99,27.03,81019.0
177,26.74,27.28,27.5,26.7,63391.0
178,27.8,27.93,27.99,27.33,82391.0
179,27.89,28.51,29.19,27.74,118171.0
180,28.3,28.13,28.4,27.37,85529.0
181,28.1,25.32,28.13,25.32,94988.0
182,25.4,24.5,25.59,24.01,71786.0
183,24.45,22.05,24.45,22.05,72711.0
184,22.04,22.36,22.52,21.34,56492.0
185,22.2,23.47,23.67,22.08,71083.0
186,23.35,23.46,24.19,23.21,69273.0
187,23.32,22.13,23.55,21.71,59380.0
188,22.36,23.5,24.34,22.36,130836.0
189,23.45,23.54,23.6,22.03,61319.0
190,22.99,22.81,23.23,22.5,44518.0
191,22.69,22.31,23.16,22.22,35445.0
192,22.05,22.26,22.5,21.82,27599.0
193,22.55,23.2,23.66,22.55,67639.0
194,23.46,23.29,23.96,23.16,67852.0
195,23.28,23.13,24.0,23.0,58418.0
196,23.0,23.68,23.88,22.6,98291.0
197,23.8,25.15,25.2,23.54,152724.0
198,25.45,26.13,26.57,25.02,150198.0
199,25.55,25.41,25.88,25.3,103689.0
200,25.42,25.91,26.1,25.17,78837.0
201,25.55,25.45,26.1,25.22,90269.0
202,25.26,25.42,25.55,25.12,49659.0
203,25.61,25.62,26.99,25.3,121667.0
204,25.63,24.75,25.8,24.42,52369.0
205,25.01,25.74,25.74,24.9,55457.0
206,25.77,25.58,25.98,25.49,63249.0
207,25.3,25.58,25.8,24.8,69524.0
208,25.43,27.23,27.28,25.3,128023.0
209,27.14,27.43,27.8,26.72,102288.0
210,27.4,27.7,28.97,27.1,178736.0
211,27.03,27.66,27.66,26.66,86215.0
212,28.05,28.0,29.0,27.9,89128.0
213,28.0,27.38,28.15,27.0,63265.0
214,27.22,28.5,28.5,26.91,133318.0
215,28.51,28.75,29.19,28.21,155320.0
216,28.5,28.21,28.75,28.02,65042.0
217,27.91,27.3,27.91,27.01,67233.0
218,27.3,27.46,27.82,27.04,39052.0
219,27.7,25.1,27.9,24.73,84643.0
220,25.06,24.55,25.25,24.5,59878.0
221,24.4,24.58,24.86,24.13,30766.0
222,24.5,23.92,24.5,23.88,54096.0
223,23.74,23.62,24.08,22.89,95850.0
224,23.63,23.07,23.66,22.89,115232.0
225,23.4,23.74,23.78,23.01,118012.0
226,24.21,23.81,24.69,23.33,103514.0
227,23.6,24.43,24.57,23.0,111171.0
228,24.19,24.23,24.81,24.05,104032.0
229,24.1,24.29,24.3,23.7,70787.0
230,24.2,22.89,24.59,22.89,90766.0
231,22.3,21.75,22.59,21.7,63614.0
232,21.71,21.89,22.1,21.71,36536.0
233,22.03,22.6,22.85,21.65,98228.0
234,22.61,22.15,22.84,21.68,102604.0
235,21.72,21.75,22.15,21.68,56402.0
236,21.98,22.47,22.79,21.68,76649.0
237,22.29,22.4,22.59,21.93,62782.0
238,22.1,21.67,22.32,21.38,48870.0
239,22.28,22.9,23.84,22.28,259799.0
240,22.08,22.4,22.5,21.8,141660.0
241,22.36,22.5,22.69,22.27,79557.0
242,22.32,21.91,22.44,21.88,67880.0
243,22.1,21.88,22.27,21.75,47039.0
244,21.73,21.55,21.94,21.03,68598.0
245,21.6,21.57,21.76,21.4,39751.0
246,21.55,21.64,21.79,21.16,40003.0
247,21.56,22.56,22.7,21.56,101308.0
248,22.85,22.75,22.85,22.41,86998.0
249,22.68,23.15,23.25,22.4,115669.0
250,23.15,22.96,23.54,22.71,158905.0
251,22.91,22.82,22.99,22.46,105184.0
252,23.0,23.14,23.72,22.95,197337.0
253,22.8,22.54,22.83,22.41,99981.0
254,22.0,21.0,22.24,21.0,90159.0
255,20.8,20.84,21.08,20.33,74414.0
256,20.45,21.45,21.66,20.35,95070.0
257,21.31,20.89,21.61,20.8,86360.0
258,20.5,21.14,21.5,20.5,54999.0
259,21.14,21.0,21.39,20.7,37530.0
260,21.27,20.82,21.32,20.75,47841.0
261,20.82,21.36,21.39,20.72,58779.0
262,22.18,21.79,23.49,21.68,233627.0
263,21.43,21.03,21.73,20.08,121843.0
264,20.94,21.48,21.65,20.5,79358.0
265,21.31,22.02,22.06,21.2,95806.0
266,22.11,21.83,22.13,21.68,68355.0
267,21.87,22.0,22.17,21.67,70575.0
268,22.01,21.86,22.18,21.77,47162.0
269,21.77,22.3,22.4,21.63,74647.0
270,22.5,22.27,22.6,22.08,51271.0
271,22.3,23.9,24.19,22.24,259520.0
272,23.9,23.3,24.2,23.28,200972.0
273,23.21,24.01,24.9,23.12,171307.0
274,24.5,25.99,26.36,24.21,225658.0
275,25.59,27.0,27.9,25.5,234947.0
276,26.83,26.48,27.89,26.28,147586.0
277,26.76,26.36,26.87,25.92,85961.0
278,26.21,25.68,26.33,25.52,86684.0
279,25.67,25.82,26.3,25.37,74890.0
280,25.78,25.71,26.28,25.5,73457.0
281,25.9,25.17,25.92,25.12,68633.0
282,25.18,25.22,25.67,25.11,56780.0
283,25.22,24.79,25.45,24.71,48895.0
284,24.89,24.48,24.96,24.19,80714.0
285,24.4,24.72,24.89,24.4,48846.0
286,24.63,22.87,24.87,22.39,102691.0
287,22.99,23.18,23.59,22.59,62910.0
288,23.16,22.71,23.33,22.61,42539.0
289,22.63,23.51,24.09,22.51,87655.0
290,23.2,23.98,24.1,23.2,72348.0
291,23.88,23.53,23.94,23.44,49619.0
292,23.47,23.16,23.47,22.62,78501.0
293,23.16,22.81,23.18,22.7,51985.0
294,22.71,22.48,22.89,21.98,57508.0
295,22.48,22.93,22.93,22.33,46455.0
296,23.0,23.25,23.78,22.73,62339.0
297,23.02,22.53,23.19,22.5,42376.0
298,22.55,22.51,22.63,22.2,41776.0
299,22.52,23.19,23.47,22.51,81269.0
300,23.12,23.55,23.68,23.11,68493.0
301,23.41,23.4,23.52,22.91,69376.0
302,23.36,23.49,23.58,23.16,54302.0
303,23.4,23.54,24.03,23.31,60116.0
304,23.5,23.63,24.0,23.31,67078.0
305,23.64,23.48,23.87,23.33,45981.0
306,23.5,23.48,23.74,23.25,35096.0
307,23.3,22.5,23.3,22.35,77513.0
308,22.57,22.39,22.7,22.35,42395.0
309,22.18,22.29,22.43,22.18,31395.0
310,22.3,22.22,22.5,22.19,30510.0
311,22.31,22.29,22.36,22.01,34210.0
312,22.27,22.05,22.35,22.05,28324.0
313,22.0,22.08,22.14,21.55,55140.0
314,22.11,22.35,22.56,22.08,50990.0
315,22.23,22.7,22.88,22.15,49137.0
316,22.67,22.51,22.8,22.47,41529.0
317,22.41,22.76,22.94,22.41,25316.0
318,22.63,22.53,22.78,22.53,23955.0
319,22.01,21.59,22.28,21.58,36432.0
320,21.7,21.62,21.8,21.51,18111.0
321,21.65,21.49,21.65,21.31,17262.0
322,21.69,21.84,21.9,21.61,14492.0
323,21.72,21.68,21.95,21.65,18486.0
324,21.7,21.66,21.85,21.55,20928.0
325,21.87,21.73,21.87,21.4,18067.0
326,21.75,21.98,22.03,21.57,30721.0
327,21.98,21.21,21.98,21.18,24280.0
328,21.25,21.38,21.4,21.09,17790.0
329,21.4,21.09,21.42,21.05,15986.0
330,21.15,21.09,21.3,21.05,17767.0
331,21.09,21.13,21.22,21.09,12429.0
332,21.18,22.2,22.25,21.17,46307.0
333,22.2,22.21,22.52,21.88,35708.0
334,22.21,22.3,22.42,22.03,23131.0
335,22.31,22.31,22.61,22.03,35823.0
336,22.31,22.98,23.35,22.22,77059.0
337,23.13,22.68,23.58,22.56,61551.0
338,22.67,22.76,22.84,22.42,35217.0
339,22.74,22.78,23.09,22.5,30426.0
340,22.78,22.45,22.78,22.4,40409.0
341,22.38,22.14,22.56,21.99,35272.0
342,22.23,22.2,22.26,22.0,51617.0
343,22.21,22.4,22.54,22.2,37041.0
344,22.38,22.62,22.84,22.18,54476.0
345,22.49,22.38,22.54,22.24,29243.0
346,22.4,23.63,24.2,22.4,170462.0
347,23.52,23.99,24.43,23.25,103969.0
348,23.91,24.05,24.3,23.66,70198.0
349,23.88,23.6,24.0,23.3,55748.0
350,23.37,23.47,23.95,23.3,39662.0
351,23.47,23.0,23.69,22.88,47479.0
352,23.17,23.2,23.23,22.86,26738.0
353,23.36,23.31,23.72,23.15,40651.0
354,23.31,23.72,23.95,22.38,64154.0
355,23.98,23.71,24.09,23.62,41076.0
356,23.71,23.71,23.92,23.55,32048.0
357,23.61,23.34,23.8,23.19,55130.0
358,23.2,23.85,23.96,23.15,73913.0
359,23.81,23.84,23.99,23.59,34919.0
360,23.63,23.43,23.84,23.3,38836.0
361,23.42,23.26,23.51,23.15,28505.0
362,23.31,23.34,23.58,23.16,25039.0
363,23.39,23.37,23.4,23.1,38135.0
364,23.41,22.88,23.41,22.84,46381.0
365,22.84,22.47,23.05,22.41,43537.0
366,22.3,22.5,22.68,21.94,69007.0
367,22.52,22.5,22.67,22.39,24641.0
368,22.53,21.98,22.58,21.98,28179.0
369,22.02,22.0,22.36,21.95,31930.0
370,22.05,22.18,22.26,22.0,14543.0
371,22.15,21.75,22.24,21.61,21550.0
372,21.75,21.61,21.84,21.46,17157.0
373,21.66,21.83,21.96,21.6,18543.0
374,21.82,22.02,22.08,21.67,14444.0
375,22.04,21.9,22.28,21.85,17476.0
376,21.94,21.85,21.94,21.68,15071.0
377,21.88,20.02,21.9,19.67,52667.0
378,20.02,20.07,20.33,19.73,28486.0
379,20.02,20.05,20.37,19.84,23204.0
380,20.01,20.16,20.3,19.8,31067.0
381,20.16,20.24,20.35,19.93,24048.0
382,20.18,20.05,20.35,19.9,15350.0
383,20.09,20.35,20.38,19.9,24239.0
384,20.39,20.42,20.58,20.35,15547.0
385,20.42,20.57,20.59,20.25,19634.0
386,20.5,20.19,20.5,20.12,12549.0
387,19.88,20.44,20.47,19.71,19619.0
388,20.28,20.19,20.45,20.19,9687.0
389,20.38,19.98,20.38,19.98,11349.0
390,20.18,20.09,20.18,19.94,20427.0
391,20.07,20.24,20.3,20.07,17724.0
392,20.27,20.3,20.39,20.21,11326.0
393,20.3,20.46,20.48,20.2,13865.0
394,20.4,20.52,21.0,20.4,17474.0
395,20.51,20.16,20.51,20.12,25160.0
396,20.17,20.21,20.26,20.07,13154.0
397,20.3,20.34,20.46,20.22,11938.0
398,20.34,20.34,20.36,20.12,14515.0
399,20.34,21.24,22.2,20.26,78540.0
400,21.04,20.7,21.11,20.61,35650.0
401,20.65,20.18,20.65,18.99,37150.0
402,20.05,20.09,20.28,19.5,18805.0
403,20.08,19.81,20.08,19.72,14737.0
404,19.8,19.8,20.0,19.75,11394.0
405,19.82,20.03,20.1,19.7,12698.0
406,20.01,19.99,20.14,19.86,13709.0
407,19.99,19.8,19.99,19.71,12834.0
408,19.8,19.82,19.88,19.66,7708.0
409,19.85,19.98,20.06,19.8,10125.0
410,20.05,19.9,20.1,19.81,7102.0
411,19.81,20.04,20.1,19.81,8377.0
412,20.05,19.98,20.09,19.91,8608.0
413,19.87,20.08,20.08,19.83,12833.0
414,20.08,20.15,20.15,19.98,15849.0
415,20.18,20.01,20.18,19.97,15885.0
416,19.92,20.07,20.16,19.86,21442.0
417,20.07,20.25,20.35,20.03,24402.0
418,20.25,20.23,20.48,20.15,22772.0
419,20.22,20.25,20.28,20.07,12631.0
420,20.15,19.92,20.36,19.9,17550.0
421,19.92,20.01,20.04,19.82,11660.0
422,20.01,20.21,20.32,19.94,23781.0
423,20.21,20.32,20.35,20.11,20466.0
424,20.33,20.73,21.88,20.33,54605.0
