,date,open,close,high,low,volume,code
0,2015-05-26,72.068,74.31,77.039,71.998,38732.0,603019
1,2015-05-27,74.658,81.04,81.706,73.321,57545.0,603019
2,2015-05-28,81.711,72.938,84.494,72.938,61377.0,603019
3,2015-05-29,70.706,72.595,75.945,68.594,48268.0,603019
4,2015-06-01,71.377,73.003,74.305,71.004,32451.0,603019
5,2015-06-02,72.073,69.056,73.813,66.605,65528.0,603019
6,2015-06-03,70.98,72.883,73.48,68.35,51584.0,603019
7,2015-06-04,72.128,67.411,72.172,65.596,49328.0,603019
8,2015-06-05,69.091,65.089,70.085,63.325,56967.0,603019
9,2015-06-08,63.872,60.845,63.872,59.602,59094.0,603019
10,2015-06-09,61.852,62.573,62.981,59.216,33482.0,603019
11,2015-06-10,62.509,65.901,66.866,61.026,38997.0,603019
12,2015-06-11,65.717,63.086,67.005,62.922,49818.0,603019
13,2015-06-12,63.096,60.255,63.668,59.579,57387.0,603019
14,2015-06-15,60.315,55.132,60.609,54.525,62200.0,603019
15,2015-06-16,53.869,56.082,57.45,52.725,45635.0,603019
16,2015-06-17,56.132,57.798,57.948,53.769,40244.0,603019
17,2015-06-18,58.922,56.853,61.081,56.207,52890.0,603019
18,2015-06-19,55.809,51.168,55.933,51.168,33376.0,603019
19,2015-06-23,49.74,52.307,52.72,46.089,51424.0,603019
20,2015-06-24,53.212,51.471,53.501,49.497,41976.0,603019
21,2015-06-25,52.924,51.546,55.659,50.735,46557.0,603019
22,2015-06-26,49.367,46.393,51.357,46.393,46746.0,603019
23,2015-06-29,47.751,41.752,48.149,41.752,49553.0,603019
24,2015-06-30,40.175,43.07,44.339,37.579,61444.0,603019
25,2015-07-01,42.294,38.763,44.01,38.763,47058.0,603019
26,2015-07-02,38.524,34.888,38.549,34.888,53160.0,603019
27,2015-07-03,32.083,31.401,35.813,31.401,59173.0,603019
28,2015-07-06,34.54,28.83,34.54,28.262,83646.0,603019
29,2015-07-07,28.8,25.95,30.72,25.945,88860.0,603019
30,2015-07-10,28.546,28.546,28.546,28.546,4760.0,603019
31,2015-07-13,31.401,31.401,31.401,31.401,708.0,603019
32,2015-07-14,34.54,34.54,34.54,34.54,969.0,603019
33,2015-07-15,37.992,35.569,37.992,34.236,152404.0,603019
34,2015-07-16,35.569,39.126,39.126,34.261,101148.0,603019
35,2015-07-17,40.29,43.035,43.04,39.295,91158.0,603019
36,2015-07-20,41.782,44.145,46.159,41.682,89613.0,603019
37,2015-07-21,43.274,43.528,44.209,42.409,49223.0,603019
38,2015-07-22,42.812,47.393,47.88,42.787,86362.0,603019
39,2015-07-23,47.602,47.985,48.741,46.259,60583.0,603019
40,2015-07-24,48.198,45.816,49.143,45.488,64814.0,603019
41,2015-07-27,44.16,41.235,45.537,41.235,74975.0,603019
42,2015-07-28,38.3,37.325,41.235,37.111,74581.0,603019
43,2015-07-29,38.797,40.354,40.722,36.937,67791.0,603019
44,2015-07-30,40.638,39.947,42.906,39.046,65308.0,603019
45,2015-07-31,38.3,36.952,39.693,36.31,55437.0,603019
46,2015-08-03,36.002,33.286,36.559,33.256,46855.0,603019
47,2015-08-04,33.823,36.614,36.614,33.818,51623.0,603019
48,2015-08-05,37.39,37.171,38.738,36.36,63587.0,603019
49,2015-08-06,35.664,37.106,38.051,35.316,42343.0,603019
50,2015-08-07,38.002,39.136,40.086,37.455,65143.0,603019
51,2015-08-10,39.792,42.916,43.05,39.295,61029.0,603019
52,2015-08-11,42.687,41.976,43.274,41.394,58909.0,603019
53,2015-08-12,41.573,40.906,42.429,40.787,43339.0,603019
54,2015-08-13,40.787,41.598,41.931,39.166,50861.0,603019
55,2015-08-14,41.911,42.533,43.473,40.986,69030.0,603019
56,2015-08-17,41.588,41.329,42.23,40.862,36474.0,603019
57,2015-08-18,41.285,37.196,42.23,37.196,63591.0,603019
58,2015-08-19,36.31,38.454,38.793,34.361,50241.0,603019
59,2015-08-20,38.3,37.474,40.081,36.858,44806.0,603019
60,2015-08-21,36.31,34.361,36.997,34.316,40987.0,603019
61,2015-08-24,32.088,30.924,32.829,30.924,41018.0,603019
62,2015-08-25,28.004,27.83,28.894,27.83,42378.0,603019
63,2015-08-26,27.656,27.327,29.844,25.119,92835.0,603019
64,2015-08-27,28.208,27.879,29.591,26.064,83506.0,603019
65,2015-08-28,28.352,30.371,30.441,27.755,69071.0,603019
66,2015-08-31,29.596,27.392,29.824,27.372,51735.0,603019
67,2015-09-01,26.86,24.651,26.865,24.651,51920.0,603019
68,2015-09-02,22.886,22.806,25.85,22.781,44560.0,603019
69,2015-09-07,24.059,25.084,25.089,23.691,63954.0,603019
70,2015-09-08,24.592,26.74,27.158,24.229,51300.0,603019
71,2015-09-09,26.74,28.437,28.899,26.367,62428.0,603019
72,2015-09-10,27.357,27.541,28.526,27.307,34332.0,603019
73,2015-09-11,27.795,28.307,29.332,27.382,48103.0,603019
74,2015-09-14,28.526,25.477,28.839,25.477,42799.0,603019
75,2015-09-15,24.622,23.094,25.243,22.98,40546.0,603019
76,2015-09-16,23.428,25.402,25.402,23.378,44404.0,603019
77,2015-09-17,25.517,27.541,27.944,24.925,83661.0,603019
78,2015-09-18,27.362,27.904,28.103,26.586,54666.0,603019
79,2015-09-21,27.198,29.665,29.944,26.959,45452.0,603019
80,2015-09-22,29.64,29.123,30.133,28.72,35752.0,603019
81,2015-09-23,28.75,30.113,31.466,28.551,58095.0,603019
82,2015-09-24,30.227,30.466,30.794,29.75,37755.0,603019
83,2015-09-25,30.342,28.452,30.466,28.103,37874.0,603019
84,2015-09-28,28.277,30.003,30.043,27.581,34209.0,603019
85,2015-09-29,29.337,29.725,30.74,28.854,33868.0,603019
86,2015-09-30,30.093,29.332,30.282,29.148,21384.0,603019
87,2015-10-08,30.849,32.267,32.267,30.292,33079.0,603019
88,2015-10-09,32.431,32.794,34.172,32.431,44189.0,603019
89,2015-10-12,33.067,33.684,35.455,32.64,72280.0,603019
90,2015-10-13,34.659,35.341,36.41,33.724,59925.0,603019
91,2015-10-14,34.953,34.152,35.365,33.873,43545.0,603019
92,2015-10-15,33.863,36.166,36.863,33.674,53182.0,603019
93,2015-10-16,36.34,36.256,37.469,35.53,45357.0,603019
94,2015-10-19,36.067,35.286,37.34,34.609,57700.0,603019
95,2015-10-20,34.918,36.281,36.495,34.719,48723.0,603019
96,2015-10-21,36.36,33.734,37.554,33.077,57369.0,603019
97,2015-10-22,33.585,35.077,35.425,33.58,41235.0,603019
98,2015-10-23,34.967,36.808,38.041,34.729,57586.0,603019
99,2015-10-26,37.355,38.927,39.738,36.808,65651.0,603019
100,2015-10-27,38.39,38.892,39.046,36.559,44199.0,603019
101,2015-10-28,38.589,37.639,40.041,37.256,54490.0,603019
102,2015-10-29,38.3,38.007,38.797,37.032,35968.0,603019
103,2015-10-30,37.305,41.807,41.807,37.057,68807.0,603019
104,2015-11-02,39.792,44.353,45.99,39.444,104921.0,603019
105,2015-11-03,44.264,44.314,45.383,42.09,70016.0,603019
106,2015-11-04,44.543,45.672,46.502,44.07,50014.0,603019
107,2015-11-05,44.766,43.916,45.592,43.861,51745.0,603019
108,2015-11-06,42.279,45.761,46.751,42.279,106986.0,603019
109,2015-11-09,46.259,49.646,50.238,45.299,93995.0,603019
110,2015-11-10,49.641,49.273,50.71,47.626,62636.0,603019
111,2015-11-11,49.392,52.72,53.774,48.795,72426.0,603019
112,2015-11-12,52.615,54.784,55.834,51.73,68905.0,603019
113,2015-11-13,53.72,49.601,54.714,49.581,70061.0,603019
114,2015-11-16,48.263,50.984,51.531,48.248,51171.0,603019
115,2015-11-17,51.481,48.059,52.416,47.9,48507.0,603019
116,2015-11-18,48.576,45.771,48.994,45.264,47310.0,603019
117,2015-11-19,46.254,47.99,48.049,45.811,50121.0,603019
118,2015-11-20,47.905,50.735,51.506,47.89,58943.0,603019
119,2015-11-23,49.745,48.009,50.675,47.671,38677.0,603019
120,2015-11-24,48.024,49.362,49.472,47.253,34036.0,603019
121,2015-11-25,49.243,50.586,51.088,49.044,43781.0,603019
122,2015-11-26,50.332,48.78,50.332,48.402,34451.0,603019
123,2015-11-27,47.796,44.622,48.248,43.911,56303.0,603019
124,2015-11-30,44.617,45.289,45.453,41.633,51014.0,603019
125,2015-12-01,44.358,43.856,45.214,43.423,37303.0,603019
126,2015-12-02,43.876,42.11,44.269,40.32,38300.0,603019
127,2015-12-03,42.09,43.274,44.264,42.08,38998.0,603019
128,2015-12-04,43.349,43.364,44.766,43.075,37140.0,603019
129,2015-12-07,43.767,45.139,45.512,42.951,41591.0,603019
130,2015-12-08,44.761,43.886,45.741,43.727,40870.0,603019
131,2015-12-09,43.772,44.483,45.413,42.632,39881.0,603019
132,2015-12-10,44.169,43.379,45.259,42.279,42786.0,603019
133,2015-12-11,42.836,43.488,44.16,42.836,24667.0,603019
134,2015-12-14,43.269,44.388,44.468,42.891,29725.0,603019
135,2015-12-15,44.468,45.179,45.955,44.468,29462.0,603019
136,2015-12-16,45.657,45.06,46.194,44.99,26485.0,603019
137,2015-12-17,45.662,46.254,46.288,45.184,41417.0,603019
138,2015-12-18,46.497,46.761,48.686,46.497,59018.0,603019
139,2015-12-21,47.253,49.208,51.233,46.855,92074.0,603019
140,2015-12-22,48.795,48.91,50.984,48.149,73098.0,603019
141,2015-12-23,48.994,46.607,48.994,46.259,52678.0,603019
142,2015-12-24,46.592,46.811,46.92,45.453,33595.0,603019
143,2015-12-25,46.905,45.945,47.0,45.413,22738.0,603019
144,2015-12-28,46.109,43.936,46.507,43.722,49509.0,603019
145,2015-12-29,43.533,43.961,44.16,43.359,29995.0,603019
146,2015-12-30,43.921,44.388,45.005,43.627,36063.0,603019
147,2015-12-31,44.423,45.348,46.104,43.777,48431.0,603019
148,2016-01-04,45.358,40.812,45.358,40.812,41964.0,603019
149,2016-01-05,37.221,37.33,40.225,36.733,105885.0,603019
150,2016-01-06,37.604,37.096,37.987,34.928,78239.0,603019
151,2016-01-07,36.062,33.386,36.201,33.386,13229.0,603019
152,2016-01-08,34.022,33.097,34.669,30.839,65106.0,603019
153,2016-01-11,32.083,29.969,32.301,29.79,79685.0,603019
154,2016-01-12,30.322,30.506,30.824,29.158,50210.0,603019
