,date,open,close,high,low,volume,code
0,2015-05-14,4.214,4.362,4.431,4.185,14190907.0,000725
1,2015-05-15,4.323,4.195,4.333,4.185,9938046.0,000725
2,2015-05-18,4.155,4.146,4.214,4.106,6835740.0,000725
3,2015-05-19,4.136,4.224,4.244,4.116,7428006.0,000725
4,2015-05-20,4.234,4.234,4.303,4.195,10794274.0,000725
5,2015-05-21,4.244,4.254,4.254,4.185,9255345.0,000725
6,2015-05-22,4.283,4.559,4.628,4.274,22610855.0,000725
7,2015-05-25,4.579,4.648,4.726,4.53,21122092.0,000725
8,2015-05-26,4.677,4.795,4.845,4.539,28371081.0,000725
9,2015-05-27,4.795,4.864,4.904,4.746,26783222.0,000725
10,2015-05-28,4.874,5.081,5.347,4.815,51354665.0,000725
11,2015-05-29,5.13,4.963,5.248,4.795,33842988.0,000725
12,2015-06-01,4.973,5.307,5.357,4.973,28044635.0,000725
13,2015-06-02,5.307,5.317,5.386,5.199,23192690.0,000725
14,2015-06-03,5.347,5.15,5.376,5.042,19945553.0,000725
15,2015-06-04,5.14,5.022,5.14,4.726,20158979.0,000725
16,2015-06-05,5.071,5.051,5.14,4.943,18085135.0,000725
17,2015-06-08,5.061,5.15,5.219,4.933,21567829.0,000725
18,2015-06-09,5.13,5.179,5.268,5.081,17762341.0,000725
19,2015-06-10,5.101,5.17,5.268,5.042,16953790.0,000725
20,2015-06-11,5.12,5.111,5.179,5.071,13145073.0,000725
21,2015-06-12,5.111,5.179,5.248,5.091,18524947.0,000725
22,2015-06-15,5.17,5.268,5.367,5.15,24389898.0,000725
23,2015-06-16,5.199,5.022,5.248,4.973,18738469.0,000725
24,2015-06-17,4.992,5.061,5.071,4.825,14204918.0,000725
25,2015-06-19,5.022,5.081,5.554,4.825,28009680.0,000725
26,2015-06-23,5.101,5.219,5.268,4.726,19057549.0,000725
27,2015-06-24,5.219,5.652,5.731,5.14,38471748.0,000725
28,2015-06-25,5.563,5.376,5.652,5.239,28658110.0,000725
29,2015-06-26,5.219,4.894,5.268,4.835,23674814.0,000725
30,2015-06-29,5.101,4.736,5.101,4.411,22818546.0,000725
31,2015-06-30,4.805,5.111,5.12,4.608,22425858.0,000725
32,2015-07-01,5.101,4.845,5.189,4.815,18343235.0,000725
33,2015-07-02,4.923,4.441,4.963,4.382,18537125.0,000725
34,2015-07-03,4.234,3.998,4.421,3.998,18616453.0,000725
35,2015-07-06,4.392,3.978,4.392,3.742,19938945.0,000725
36,2015-07-07,3.88,3.584,3.88,3.584,20789894.0,000725
37,2015-07-13,3.939,3.939,3.939,3.939,1674296.0,000725
38,2015-07-14,4.333,4.333,4.333,4.333,2443864.0,000725
39,2015-07-15,4.677,3.958,4.677,3.939,20725290.0,000725
40,2015-07-16,3.939,4.027,4.136,3.762,12367056.0,000725
41,2015-07-17,4.047,4.254,4.333,4.037,14418724.0,000725
42,2015-07-20,4.264,4.234,4.342,4.165,13036186.0,000725
43,2015-07-21,4.136,4.195,4.274,4.096,8776773.0,000725
44,2015-07-22,4.175,4.146,4.214,4.067,9083703.0,000725
45,2015-07-23,4.136,4.254,4.283,4.096,12792734.0,000725
46,2015-07-24,4.224,4.136,4.254,4.106,13009620.0,000725
47,2015-07-27,4.027,3.722,4.086,3.722,12781184.0,000725
48,2015-07-28,3.525,3.633,3.742,3.417,11863087.0,000725
49,2015-07-29,3.663,3.83,3.83,3.614,8179036.0,000725
50,2015-07-30,3.781,3.653,3.83,3.633,7932846.0,000725
51,2015-07-31,3.574,3.643,3.702,3.545,6590845.0,000725
52,2015-08-03,3.594,3.584,3.624,3.437,6535774.0,000725
53,2015-08-04,3.574,3.752,3.791,3.574,7450327.0,000725
54,2015-08-05,3.732,3.633,3.742,3.624,5821274.0,000725
55,2015-08-06,3.565,3.584,3.633,3.555,3971998.0,000725
56,2015-08-07,3.614,3.712,3.732,3.614,6877432.0,000725
57,2015-08-10,3.712,3.85,3.89,3.712,10457799.0,000725
58,2015-08-11,3.85,3.89,3.958,3.801,11813993.0,000725
59,2015-08-12,3.821,3.801,3.919,3.791,7883760.0,000725
60,2015-08-13,3.791,3.899,3.919,3.771,7981403.0,000725
61,2015-08-14,3.899,3.899,3.968,3.88,8865901.0,000725
62,2015-08-17,3.88,4.077,4.086,3.83,13799032.0,000725
63,2015-08-18,4.077,3.732,4.086,3.673,13054868.0,000725
64,2015-08-19,3.643,3.87,3.909,3.555,10058581.0,000725
65,2015-08-20,4.018,3.811,4.037,3.791,10300637.0,000725
66,2015-08-21,3.722,3.604,3.781,3.574,8583431.0,000725
67,2015-08-24,3.466,3.24,3.505,3.24,9152356.0,000725
68,2015-08-25,2.934,2.915,3.072,2.915,7841370.0,000725
69,2015-08-26,2.954,2.846,3.043,2.757,9807279.0,000725
70,2015-08-27,2.915,2.974,2.974,2.806,7396387.0,000725
71,2015-08-28,3.003,3.141,3.161,2.974,9591437.0,000725
72,2015-08-31,3.102,3.023,3.102,2.974,6993556.0,000725
73,2015-09-01,3.013,3.112,3.151,2.836,10882800.0,000725
74,2015-09-02,2.964,3.092,3.112,2.934,7808513.0,000725
75,2015-09-07,3.092,3.082,3.22,3.062,5427419.0,000725
76,2015-09-08,3.053,3.121,3.131,2.974,5075712.0,000725
77,2015-09-09,3.141,3.19,3.21,3.102,8188394.0,000725
78,2015-09-10,3.141,3.092,3.151,3.082,4660535.0,000725
79,2015-09-11,3.102,3.082,3.131,3.053,3262943.0,000725
80,2015-09-14,3.092,2.885,3.112,2.836,6256065.0,000725
81,2015-09-15,2.836,2.757,2.885,2.737,5135288.0,000725
82,2015-09-16,2.777,2.964,3.013,2.737,6489244.0,000725
83,2015-09-17,2.905,2.865,2.974,2.856,5970360.0,000725
84,2015-09-18,2.875,2.875,2.905,2.846,3196913.0,000725
85,2015-09-21,2.856,2.925,2.934,2.826,3474790.0,000725
86,2015-09-22,2.915,2.925,2.954,2.895,4557261.0,000725
87,2015-09-23,2.875,2.846,2.895,2.836,3799631.0,000725
88,2015-09-24,2.865,2.875,2.895,2.856,2375480.0,000725
89,2015-09-25,2.865,2.797,2.885,2.777,3439145.0,000725
90,2015-09-28,2.797,2.816,2.826,2.777,2039674.0,000725
91,2015-09-29,2.777,2.747,2.787,2.708,3556398.0,000725
